电路名,电路类型,总时间,传输时间,计算时间,内存占用,门数
sc26_jch_nq9_nm6_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq9_nm6_c4,jch,1297.065649,762.256555,473.652967,454078464.00,425
sc26_jch_nq9_nm6_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq9_nm7_c16,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_jch_nq9_nm7_c4,jch,11504.704497,11122.442958,342.525463,4480733184.00,495
sc26_jch_nq9_nm7_c8,jch,0,0,0,0,0,nlocal 超出可用范围
sc26_qaoa_nm1_c16,qaoa,460.353251,1.117189,407.128710,274460672.00,20
sc26_qaoa_nm1_c4,qaoa,441.290840,0.850325,396.224899,274010112.00,10
sc26_qaoa_nm1_c8,qaoa,406.485028,0.976490,358.084778,274362368.00,15
sc26_qaoa_nm2_c16,qaoa,700.138159,13.634024,635.414509,275599360.00,40
sc26_qaoa_nm2_c4,qaoa,703.150030,1.019728,642.704169,274190336.00,20
sc26_qaoa_nm2_c8,qaoa,673.900119,8.476514,599.913876,274145280.00,30
sc26_qaoa_nm4_c16,qaoa,407.859761,4.591513,384.013872,274743296.00,80
sc26_qaoa_nm4_c4,qaoa,500.126251,9.605192,446.003554,275435520.00,40
sc26_qaoa_nm4_c8,qaoa,1195.233408,713.273417,435.146542,453828608.00,60
sc26_qaoa_nm8_c16,qaoa,510.115482,25.789103,432.859616,274620416.00,160
sc26_qaoa_nm8_c4,qaoa,313.496365,8.041284,259.372348,274952192.00,80
sc26_qaoa_nm8_c8,qaoa,469.251532,37.713019,389.893836,274526208.00,120
sc26_qft_nq3_c16,qft,550.254758,5.321611,498.168843,273981440.00,40
sc26_qft_nq3_c4,qft,542.119447,10.865087,481.107211,274382848.00,22
sc26_qft_nq3_c8,qft,740.202780,1.100830,688.398198,274341888.00,31
sc26_qft_nq5_c16,qft,722.954278,9.198473,670.405683,274288640.00,40
sc26_qft_nq5_c4,qft,728.849911,7.048897,678.854853,274243584.00,22
sc26_qft_nq5_c8,qft,804.510349,1.097916,759.381387,274485248.00,31
sc26_qft_nq7_c16,qft,799.820087,7.500147,743.522526,274251776.00,40
sc26_qft_nq7_c4,qft,958.367779,8.351047,881.234715,274280448.00,22
sc26_qft_nq7_c8,qft,888.007515,0.997668,839.777905,274374656.00,31
sc26_qft_nq9_c16,qft,953.107309,10.314949,884.336721,274407424.00,40
sc26_qft_nq9_c4,qft,928.410519,1.017065,851.682165,274157568.00,22
sc26_qft_nq9_c8,qft,913.653693,1.064449,851.896944,273981440.00,31
sc26_shors_c16,shors,1124.174152,22.884469,1035.156983,275222528.00,132
sc26_shors_c4,shors,1099.016088,1.931587,1039.470534,274022400.00,66
sc26_shors_c8,shors,1047.903364,2.803748,959.668338,274288640.00,99
sc26_transfer_CVtoDV_nq16_c16,transfer,0,0,0,0,0,nlocal 超出可用范围
sc26_transfer_CVtoDV_nq16_c4,transfer,0,0,0,0,0,nlocal 超出可用范围
sc26_transfer_CVtoDV_nq16_c8,transfer,0,0,0,0,0,nlocal 超出可用范围
sc26_transfer_CVtoDV_nq2_c16,transfer,670.987079,1.376059,623.187897,274206720.00,39
sc26_transfer_CVtoDV_nq2_c4,transfer,724.509485,8.108653,678.023839,274378752.00,31
sc26_transfer_CVtoDV_nq2_c8,transfer,652.882802,5.278540,598.176294,274382848.00,35
sc26_transfer_CVtoDV_nq4_c16,transfer,770.697681,9.812275,696.620412,275148800.00,111
sc26_transfer_CVtoDV_nq4_c4,transfer,712.493290,31.738645,630.496628,274206720.00,95
sc26_transfer_CVtoDV_nq4_c8,transfer,649.543594,10.088010,593.640919,275001344.00,103
sc26_transfer_CVtoDV_nq8_c16,transfer,1403.133415,579.030839,773.677136,454201344.00,351
sc26_transfer_CVtoDV_nq8_c4,transfer,678.966104,51.001260,580.141836,275316736.00,319
sc26_transfer_CVtoDV_nq8_c8,transfer,573.548576,159.287840,364.000439,274440192.00,335
sc26_transfer_DVtoCV_nq16_c16,transfer,0,0,0,0,0,nlocal 超出可用范围
sc26_transfer_DVtoCV_nq16_c4,transfer,0,0,0,0,0,nlocal 超出可用范围
sc26_transfer_DVtoCV_nq16_c8,transfer,0,0,0,0,0,nlocal 超出可用范围
sc26_transfer_DVtoCV_nq2_c16,transfer,546.196625,1.372018,502.220113,274309120.00,39
sc26_transfer_DVtoCV_nq2_c4,transfer,567.390359,1.127595,515.485432,274325504.00,31
sc26_transfer_DVtoCV_nq2_c8,transfer,550.542970,5.428139,513.911907,274354176.00,35
sc26_transfer_DVtoCV_nq4_c16,transfer,1035.288786,10.586304,962.674711,275324928.00,111
sc26_transfer_DVtoCV_nq4_c4,transfer,1504.507251,6.429115,1416.421616,274165760.00,95
sc26_transfer_DVtoCV_nq4_c8,transfer,944.568776,13.174965,877.000617,274485248.00,103
sc26_transfer_DVtoCV_nq8_c16,transfer,1666.624467,499.131624,1122.117042,454180864.00,351
sc26_transfer_DVtoCV_nq8_c4,transfer,1395.137965,62.018547,1280.808111,275480576.00,319
sc26_transfer_DVtoCV_nq8_c8,transfer,1247.123052,152.053727,1032.524863,274579456.00,335
sc26_vqe_nq10_nm3_c16,vqe,1201.910109,433.984728,718.179994,454184960.00,80
sc26_vqe_nq10_nm3_c4,vqe,438.767017,35.320888,363.756479,275263488.00,60
sc26_vqe_nq10_nm3_c8,vqe,411.371763,40.545260,337.844226,275214336.00,70
sc26_vqe_nq10_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq10_nm4_c4,vqe,431.820387,50.138611,362.347490,275382272.00,68
sc26_vqe_nq10_nm4_c8,vqe,811.382822,444.506028,306.322891,454184960.00,82
sc26_vqe_nq10_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq10_nm5_c4,vqe,521.700293,87.692038,399.316945,282787840.00,76
sc26_vqe_nq10_nm5_c8,vqe,38494.986883,37702.100614,725.741088,17365630976.00,94
sc26_vqe_nq10_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq10_nm6_c4,vqe,479.265539,282.831844,159.179580,453967872.00,84
sc26_vqe_nq10_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq10_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq10_nm7_c4,vqe,7748.284619,7123.619728,592.142382,4480446464.00,92
sc26_vqe_nq10_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq3_nm3_c16,vqe,624.820527,313.061674,275.411315,453738496.00,52
sc26_vqe_nq3_nm3_c4,vqe,435.674942,4.713999,399.891035,274546688.00,32
sc26_vqe_nq3_nm3_c8,vqe,460.567372,11.677280,415.051571,275640320.00,42
sc26_vqe_nq3_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq3_nm4_c4,vqe,327.551681,6.752154,287.906837,275611648.00,40
sc26_vqe_nq3_nm4_c8,vqe,802.804024,509.346529,253.984745,453935104.00,54
sc26_vqe_nq3_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq3_nm5_c4,vqe,378.962287,50.703992,284.829031,275513344.00,48
sc26_vqe_nq3_nm5_c8,vqe,43060.841079,42496.340113,529.647593,17365164032.00,66
sc26_vqe_nq3_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq3_nm6_c4,vqe,846.899312,519.272571,295.707645,453967872.00,56
sc26_vqe_nq3_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq3_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq3_nm7_c4,vqe,9701.485417,9033.733875,634.236243,4480454656.00,64
sc26_vqe_nq3_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq4_nm3_c16,vqe,1122.013963,622.260761,444.661730,453976064.00,56
sc26_vqe_nq4_nm3_c4,vqe,700.901248,1.737014,654.367937,274022400.00,36
sc26_vqe_nq4_nm3_c8,vqe,372.278530,27.198832,298.443787,275431424.00,46
sc26_vqe_nq4_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq4_nm4_c4,vqe,530.031558,10.747808,468.688544,275664896.00,44
sc26_vqe_nq4_nm4_c8,vqe,947.404777,606.936295,299.792906,453935104.00,58
sc26_vqe_nq4_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq4_nm5_c4,vqe,532.936077,53.374560,438.490215,275132416.00,52
sc26_vqe_nq4_nm5_c8,vqe,45715.557292,45103.795475,568.094852,17365360640.00,70
sc26_vqe_nq4_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq4_nm6_c4,vqe,1093.411034,611.392328,437.275908,453816320.00,60
sc26_vqe_nq4_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq4_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq4_nm7_c4,vqe,11129.765158,10681.433301,417.632552,4480507904.00,68
sc26_vqe_nq4_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq5_nm3_c16,vqe,1314.301474,764.944251,496.366796,453898240.00,60
sc26_vqe_nq5_nm3_c4,vqe,586.282680,1.739106,525.885017,274038784.00,40
sc26_vqe_nq5_nm3_c8,vqe,614.150913,15.899706,550.938509,275300352.00,50
sc26_vqe_nq5_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq5_nm4_c4,vqe,654.085571,14.077173,596.518950,275660800.00,48
sc26_vqe_nq5_nm4_c8,vqe,1093.188398,608.977837,436.075068,453976064.00,62
sc26_vqe_nq5_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq5_nm5_c4,vqe,550.339541,51.470816,455.082541,275095552.00,56
sc26_vqe_nq5_nm5_c8,vqe,46014.252322,45488.826529,467.657802,17365352448.00,74
